oldid	newid	time
HOUSE2308-11180-MALE_SAMPLED_44.6527009070609	HOUSE2308_11180	44.6527009070609
HOUSE1092-16633-MALE_SAMPLED_44.8474619772693	HOUSE1092_16633	44.8474619772693
HOUSE3776-6969-FEMALE_SAMPLED_42.153039277764	HOUSE3776_6969	42.153039277764
HOUSE660-14791-FEMALE_SAMPLED_43.122906539191	HOUSE660_14791	43.122906539191
HOUSE1492-11556-FEMALE_SAMPLED_41.6964546370189	HOUSE1492_11556	41.6964546370189
HOUSE713-15113-FEMALE_SAMPLED_44.2690316703358	HOUSE713_15113	44.2690316703358
HOUSE4256-16741-MALE_SAMPLED_44.3114937486357	HOUSE4256_16741	44.3114937486357
HOUSE2116-7615-FEMALE_SAMPLED_42.0445337321144	HOUSE2116_7615	42.0445337321144
HOUSE345-9899-FEMALE_SAMPLED_40.014516764871	HOUSE345_9899	40.014516764871
HOUSE3272-3228-MALE_SAMPLED_41.6235988133121	HOUSE3272_3228	41.6235988133121
HOUSE2372-10541-MALE_SAMPLED_40.3504206922681	HOUSE2372_10541	40.3504206922681
HOUSE3352-13462-FEMALE_SAMPLED_43.5169845301778	HOUSE3352_13462	43.5169845301778
HOUSE1680-11297-MALE_SAMPLED_40.630209101364	HOUSE1680_11297	40.630209101364
HOUSE3568-17196-MALE_SAMPLED_44.6375582381899	HOUSE3568_17196	44.6375582381899
HOUSE4630-4595-FEMALE_SAMPLED_44.2444537989004	HOUSE4630_4595	44.2444537989004
HOUSE1029-1003-FEMALE_SAMPLED_40.0291980730657	HOUSE1029_1003	40.0291980730657
HOUSE2638-13111-MALE_SAMPLED_40.6643029846788	HOUSE2638_13111	40.6643029846788
HOUSE3296-3257-FEMALE_SAMPLED_44.8502644824387	HOUSE3296_3257	44.8502644824387
HOUSE6019-14504-FEMALE_SAMPLED_44.4084051550845	HOUSE6019_14504	44.4084051550845
HOUSE2637-14364-MALE_SAMPLED_44.6866547372126	HOUSE2637_14364	44.6866547372126
HOUSE3539-12331-MALE_SAMPLED_41.7082955428547	HOUSE3539_12331	41.7082955428547
HOUSE3320-16449-FEMALE_SAMPLED_42.6062945269597	HOUSE3320_16449	42.6062945269597
HOUSE166-14724-FEMALE_SAMPLED_43.7598760097731	HOUSE166_14724	43.7598760097731
HOUSE2103-8026-FEMALE_SAMPLED_40.1814536373986	HOUSE2103_8026	40.1814536373986
HOUSE1035-14232-FEMALE_SAMPLED_41.8808880080727	HOUSE1035_14232	41.8808880080727
HOUSE1368-14070-MALE_SAMPLED_43.6491230687992	HOUSE1368_14070	43.6491230687992
HOUSE4578-4527-FEMALE_SAMPLED_44.4565406134252	HOUSE4578_4527	44.4565406134252
HOUSE5392-6679-FEMALE_SAMPLED_44.5402231579646	HOUSE5392_6679	44.5402231579646
HOUSE4210-13416-FEMALE_SAMPLED_41.9264550826273	HOUSE4210_13416	41.9264550826273
HOUSE4636-4601-FEMALE_SAMPLED_41.3619496766912	HOUSE4636_4601	41.3619496766912
HOUSE2399-9185-FEMALE_SAMPLED_40.0235673251195	HOUSE2399_9185	40.0235673251195
HOUSE4205-11676-FEMALE_SAMPLED_40.1528290639696	HOUSE4205_11676	40.1528290639696
HOUSE581-16125-MALE_SAMPLED_41.9915664039998	HOUSE581_16125	41.9915664039998
HOUSE6019-15224-FEMALE_SAMPLED_44.5138852959079	HOUSE6019_15224	44.5138852959079
HOUSE6019-15886-FEMALE_SAMPLED_42.6451029524557	HOUSE6019_15886	42.6451029524557
HOUSE4279-8494-MALE_SAMPLED_44.1454914724454	HOUSE4279_8494	44.1454914724454
HOUSE6019-9474-FEMALE_SAMPLED_40.3194392006844	HOUSE6019_9474	40.3194392006844
HOUSE143-10948-MALE_SAMPLED_40.0373265752569	HOUSE143_10948	40.0373265752569
HOUSE1301-11769-MALE_SAMPLED_41.2887502758883	HOUSE1301_11769	41.2887502758883
HOUSE1130-14086-MALE_SAMPLED_41.2614522978562	HOUSE1130_14086	41.2614522978562
HOUSE1130-15705-FEMALE_SAMPLED_43.4282743830759	HOUSE1130_15705	43.4282743830759
HOUSE1958-1953-FEMALE_SAMPLED_44.3094383069982	HOUSE1958_1953	44.3094383069982
HOUSE1861-1850-MALE_SAMPLED_40.1679595664216	HOUSE1861_1850	40.1679595664216
HOUSE3113-14097-FEMALE_SAMPLED_44.1120219283663	HOUSE3113_14097	44.1120219283663
